player,team,2K,3K,4K,5K,1v1,1v2,1v3,1v4,1v5,ECON,PL,DE,map,date,source_url,event
vora,100T,1,1,0,0,1,0,0,0,0,46,2,1,Breeze,2026-07-02 07:00:00,https://www.vlr.gg/706754/rex-regum-qeon-vs-100-thieves-esports-world-cup-2026-opening-a,Esports World Cup 2026
Timotino,100T,3,2,0,0,0,0,0,0,0,68,0,0,Breeze,2026-07-02 07:00:00,https://www.vlr.gg/706754/rex-regum-qeon-vs-100-thieves-esports-world-cup-2026-opening-a,Esports World Cup 2026
Rosé,BBL,4,6,1,0,0,0,0,0,0,73,5,1,all,2026-07-02 07:00:00,https://www.vlr.gg/706755/bbl-esports-vs-edward-gaming-esports-world-cup-2026-opening-a,Esports World Cup 2026
Crewen,BBL,4,4,0,0,1,0,0,0,0,53,1,2,all,2026-07-02 07:00:00,https://www.vlr.gg/706755/bbl-esports-vs-edward-gaming-esports-world-cup-2026-opening-a,Esports World Cup 2026
Loita,BBL,13,4,0,0,0,1,0,0,0,66,4,1,all,2026-07-02 07:00:00,https://www.vlr.gg/706755/bbl-esports-vs-edward-gaming-esports-world-cup-2026-opening-a,Esports World Cup 2026
Lar0k,BBL,14,3,2,2,1,1,0,0,0,70,6,1,all,2026-07-02 07:00:00,https://www.vlr.gg/706755/bbl-esports-vs-edward-gaming-esports-world-cup-2026-opening-a,Esports World Cup 2026
lovers,rock,12,1,1,0,0,0,0,0,1,44,5,3,all,2026-07-02 07:00:00,https://www.vlr.gg/706755/bbl-esports-vs-edward-gaming-esports-world-cup-2026-opening-a,Esports World Cup 2026
signed,EDG,5,2,1,0,1,0,1,0,0,45,0,2,all,2026-07-02 07:00:00,https://www.vlr.gg/706755/bbl-esports-vs-edward-gaming-esports-world-cup-2026-opening-a,Esports World Cup 2026
nobody,EDG,6,2,0,0,0,1,0,0,0,46,11,1,all,2026-07-02 07:00:00,https://www.vlr.gg/706755/bbl-esports-vs-edward-gaming-esports-world-cup-2026-opening-a,Esports World Cup 2026
ZmjjKK,EDG,12,1,2,0,0,0,0,0,0,51,1,2,all,2026-07-02 07:00:00,https://www.vlr.gg/706755/bbl-esports-vs-edward-gaming-esports-world-cup-2026-opening-a,Esports World Cup 2026
CHICHOO,EDG,4,2,2,0,0,2,0,0,0,30,9,1,all,2026-07-02 07:00:00,https://www.vlr.gg/706755/bbl-esports-vs-edward-gaming-esports-world-cup-2026-opening-a,Esports World Cup 2026
Jieni7,EDG,5,3,1,0,1,0,0,0,0,37,0,0,all,2026-07-02 07:00:00,https://www.vlr.gg/706755/bbl-esports-vs-edward-gaming-esports-world-cup-2026-opening-a,Esports World Cup 2026
Rosé,BBL,2,1,0,0,0,0,0,0,0,24,4,0,Lotus,2026-07-02 07:00:00,https://www.vlr.gg/706755/bbl-esports-vs-edward-gaming-esports-world-cup-2026-opening-a,Esports World Cup 2026
Crewen,BBL,2,2,0,0,1,0,0,0,0,39,1,2,Lotus,2026-07-02 07:00:00,https://www.vlr.gg/706755/bbl-esports-vs-edward-gaming-esports-world-cup-2026-opening-a,Esports World Cup 2026
Loita,BBL,6,1,0,0,0,0,0,0,0,50,2,0,Lotus,2026-07-02 07:00:00,https://www.vlr.gg/706755/bbl-esports-vs-edward-gaming-esports-world-cup-2026-opening-a,Esports World Cup 2026
Lar0k,BBL,8,1,0,0,1,0,0,0,0,42,1,1,Lotus,2026-07-02 07:00:00,https://www.vlr.gg/706755/bbl-esports-vs-edward-gaming-esports-world-cup-2026-opening-a,Esports World Cup 2026
lovers,rock,4,1,1,0,0,0,0,0,1,37,3,2,Lotus,2026-07-02 07:00:00,https://www.vlr.gg/706755/bbl-esports-vs-edward-gaming-esports-world-cup-2026-opening-a,Esports World Cup 2026
