series_id,url,event,tournament,status,error,attempts,has_performance,has_economy,first_seen,last_attempt
684611,https://www.vlr.gg/684611/full-sense-vs-fut-esports-valorant-masters-london-2026-r1,,valorant_masters_london_2026,ok,,1,,,2026-09-13T17:00:42+00:00,2026-09-13T17:00:42+00:00
684612,https://www.vlr.gg/684612/leviat-n-vs-global-esports-valorant-masters-london-2026-r1,,valorant_masters_london_2026,ok,,1,,,2026-09-13T17:00:42+00:00,2026-09-13T17:00:42+00:00
684614,https://www.vlr.gg/684614/team-vitality-vs-fut-esports-valorant-masters-london-2026-r2-1-0,,valorant_masters_london_2026,ok,,1,,,2026-09-13T17:00:42+00:00,2026-09-13T17:00:42+00:00
684615,https://www.vlr.gg/684615/nrg-vs-leviat-n-valorant-masters-london-2026-r2-1-0,,valorant_masters_london_2026,ok,,1,,,2026-09-13T17:00:42+00:00,2026-09-13T17:00:42+00:00
684616,https://www.vlr.gg/684616/dragon-ranger-gaming-vs-xi-lai-gaming-valorant-masters-london-2026-r2-0-1,,valorant_masters_london_2026,ok,,1,,,2026-09-13T17:00:42+00:00,2026-09-13T17:00:42+00:00
684617,https://www.vlr.gg/684617/global-esports-vs-full-sense-valorant-masters-london-2026-r2-0-1,,valorant_masters_london_2026,ok,,1,,,2026-09-13T17:00:42+00:00,2026-09-13T17:00:42+00:00
684619,https://www.vlr.gg/684619/fut-esports-vs-nrg-valorant-masters-london-2026-r3-1-1,,valorant_masters_london_2026,ok,,1,,,2026-09-13T17:00:42+00:00,2026-09-13T17:00:42+00:00
684618,https://www.vlr.gg/684618/global-esports-vs-xi-lai-gaming-valorant-masters-london-2026-r3-1-1,,valorant_masters_london_2026,ok,,1,,,2026-09-13T17:00:42+00:00,2026-09-13T17:00:42+00:00
670466,https://www.vlr.gg/670466/paper-rex-vs-leviat-n-valorant-masters-london-2026-ubqf,,valorant_masters_london_2026,ok,,1,,,2026-09-13T17:00:42+00:00,2026-09-13T17:00:42+00:00
670467,https://www.vlr.gg/670467/team-heretics-vs-team-vitality-valorant-masters-london-2026-ubqf,,valorant_masters_london_2026,ok,,1,,,2026-09-13T17:00:42+00:00,2026-09-13T17:00:42+00:00
670465,https://www.vlr.gg/670465/edward-gaming-vs-fut-esports-valorant-masters-london-2026-ubqf,,valorant_masters_london_2026,ok,,1,,,2026-09-13T17:00:42+00:00,2026-09-13T17:00:42+00:00
670464,https://www.vlr.gg/670464/g2-esports-vs-xi-lai-gaming-valorant-masters-london-2026-ubqf,,valorant_masters_london_2026,ok,,1,,,2026-09-13T17:00:42+00:00,2026-09-13T17:00:42+00:00
670473,https://www.vlr.gg/670473/leviat-n-vs-team-heretics-valorant-masters-london-2026-lr1,,valorant_masters_london_2026,ok,,1,,,2026-09-13T17:00:42+00:00,2026-09-13T17:00:42+00:00
670472,https://www.vlr.gg/670472/g2-esports-vs-fut-esports-valorant-masters-london-2026-lr1,,valorant_masters_london_2026,ok,,1,,,2026-09-13T17:00:42+00:00,2026-09-13T17:00:42+00:00
670468,https://www.vlr.gg/670468/xi-lai-gaming-vs-edward-gaming-valorant-masters-london-2026-ubsf,,valorant_masters_london_2026,ok,,1,,,2026-09-13T17:00:42+00:00,2026-09-13T17:00:42+00:00
670469,https://www.vlr.gg/670469/paper-rex-vs-team-vitality-valorant-masters-london-2026-ubsf,,valorant_masters_london_2026,ok,,1,,,2026-09-13T17:00:42+00:00,2026-09-13T17:00:42+00:00
670475,https://www.vlr.gg/670475/xi-lai-gaming-vs-leviat-n-valorant-masters-london-2026-lr2,,valorant_masters_london_2026,ok,,1,,,2026-09-13T17:00:42+00:00,2026-09-13T17:00:42+00:00
670474,https://www.vlr.gg/670474/team-vitality-vs-fut-esports-valorant-masters-london-2026-lr2,,valorant_masters_london_2026,ok,,1,,,2026-09-13T17:00:42+00:00,2026-09-13T17:00:42+00:00
670470,https://www.vlr.gg/670470/edward-gaming-vs-paper-rex-valorant-masters-london-2026-ubf,,valorant_masters_london_2026,ok,,1,,,2026-09-13T17:00:42+00:00,2026-09-13T17:00:42+00:00
670476,https://www.vlr.gg/670476/team-vitality-vs-leviat-n-valorant-masters-london-2026-lr3,,valorant_masters_london_2026,ok,,1,,,2026-09-13T17:00:42+00:00,2026-09-13T17:00:42+00:00
670477,https://www.vlr.gg/670477/edward-gaming-vs-leviat-n-valorant-masters-london-2026-lbf,,valorant_masters_london_2026,ok,,1,,,2026-09-13T17:00:42+00:00,2026-09-13T17:00:42+00:00
670471,https://www.vlr.gg/670471/paper-rex-vs-leviat-n-valorant-masters-london-2026-gf,,valorant_masters_london_2026,ok,,1,,,2026-09-13T17:00:42+00:00,2026-09-13T17:00:42+00:00
625788,https://www.vlr.gg/625788/gentle-mates-vs-edward-gaming-valorant-masters-santiago-2026-r1,,valorant_masters_santiago_2026,ok,,1,,,2026-09-13T17:00:42+00:00,2026-09-13T17:00:42+00:00
