team_a,team_b,team_a_economy,team_b_economy,round,team_a_bank,team_b_bank,map,date,source_url,event
GEN,ZETA,4200,3750,1,0.0k,0.2k,Ascent,2026-07-16 04:00:00,https://www.vlr.gg/698884/gen-g-vs-zeta-division-vct-2026-pacific-stage-2-w1,VCT 2026: Pacific Stage 2
GEN,ZETA,16850,2400,2,1.9k,8.9k,Ascent,2026-07-16 04:00:00,https://www.vlr.gg/698884/gen-g-vs-zeta-division-vct-2026-pacific-stage-2-w1,VCT 2026: Pacific Stage 2
GEN,ZETA,19100,22400,3,11.5k,0.8k,Ascent,2026-07-16 04:00:00,https://www.vlr.gg/698884/gen-g-vs-zeta-division-vct-2026-pacific-stage-2-w1,VCT 2026: Pacific Stage 2
GEN,ZETA,19250,22400,4,4.0k,9.5k,Ascent,2026-07-16 04:00:00,https://www.vlr.gg/698884/gen-g-vs-zeta-division-vct-2026-pacific-stage-2-w1,VCT 2026: Pacific Stage 2
GEN,ZETA,9950,22850,5,8.6k,12.0k,Ascent,2026-07-16 04:00:00,https://www.vlr.gg/698884/gen-g-vs-zeta-division-vct-2026-pacific-stage-2-w1,VCT 2026: Pacific Stage 2
GEN,ZETA,23700,23150,6,1.5k,16.4k,Ascent,2026-07-16 04:00:00,https://www.vlr.gg/698884/gen-g-vs-zeta-division-vct-2026-pacific-stage-2-w1,VCT 2026: Pacific Stage 2
GEN,ZETA,9200,23050,7,10.0k,9.3k,Ascent,2026-07-16 04:00:00,https://www.vlr.gg/698884/gen-g-vs-zeta-division-vct-2026-pacific-stage-2-w1,VCT 2026: Pacific Stage 2
GEN,ZETA,20700,22850,8,0.7k,13.0k,Ascent,2026-07-16 04:00:00,https://www.vlr.gg/698884/gen-g-vs-zeta-division-vct-2026-pacific-stage-2-w1,VCT 2026: Pacific Stage 2
GEN,ZETA,23000,20650,9,14.5k,3.9k,Ascent,2026-07-16 04:00:00,https://www.vlr.gg/698884/gen-g-vs-zeta-division-vct-2026-pacific-stage-2-w1,VCT 2026: Pacific Stage 2
GEN,ZETA,25800,9650,10,14.7k,9.6k,Ascent,2026-07-16 04:00:00,https://www.vlr.gg/698884/gen-g-vs-zeta-division-vct-2026-pacific-stage-2-w1,VCT 2026: Pacific Stage 2
GEN,ZETA,26300,22550,11,11.1k,4.3k,Ascent,2026-07-16 04:00:00,https://www.vlr.gg/698884/gen-g-vs-zeta-division-vct-2026-pacific-stage-2-w1,VCT 2026: Pacific Stage 2
GEN,ZETA,20800,23100,12,3.6k,4.2k,Ascent,2026-07-16 04:00:00,https://www.vlr.gg/698884/gen-g-vs-zeta-division-vct-2026-pacific-stage-2-w1,VCT 2026: Pacific Stage 2
GEN,ZETA,4150,3700,13,0.1k,0.1k,Ascent,2026-07-16 04:00:00,https://www.vlr.gg/698884/gen-g-vs-zeta-division-vct-2026-pacific-stage-2-w1,VCT 2026: Pacific Stage 2
GEN,ZETA,17000,2350,14,2.9k,7.9k,Ascent,2026-07-16 04:00:00,https://www.vlr.gg/698884/gen-g-vs-zeta-division-vct-2026-pacific-stage-2-w1,VCT 2026: Pacific Stage 2
