player,team,2K,3K,4K,5K,1v1,1v2,1v3,1v4,1v5,ECON,PL,DE,map,date,source_url,event
keiko,NRG,4,7,0,0,1,0,0,0,0,99,1,0,Lotus,2026-06-06 10:00:00,https://www.vlr.gg/684613/xi-lai-gaming-vs-nrg-valorant-masters-london-2026-r1,Valorant Masters London 2026
Chronicle,VIT,4,1,1,0,0,1,0,0,0,62,1,1,all,2026-06-06 12:30:00,https://www.vlr.gg/684610/team-vitality-vs-dragon-ranger-gaming-valorant-masters-london-2026-r1,Valorant Masters London 2026
Derke,VIT,9,2,0,1,0,0,0,0,0,72,3,0,all,2026-06-06 12:30:00,https://www.vlr.gg/684610/team-vitality-vs-dragon-ranger-gaming-valorant-masters-london-2026-r1,Valorant Masters London 2026
PROFEK,VIT,6,2,1,0,1,0,0,0,0,56,0,0,all,2026-06-06 12:30:00,https://www.vlr.gg/684610/team-vitality-vs-dragon-ranger-gaming-valorant-masters-london-2026-r1,Valorant Masters London 2026
Jamppi,VIT,1,0,0,1,0,0,0,1,0,47,7,2,all,2026-06-06 12:30:00,https://www.vlr.gg/684610/team-vitality-vs-dragon-ranger-gaming-valorant-masters-london-2026-r1,Valorant Masters London 2026
Sayonara,VIT,4,4,0,1,0,1,0,0,0,73,4,1,all,2026-06-06 12:30:00,https://www.vlr.gg/684610/team-vitality-vs-dragon-ranger-gaming-valorant-masters-london-2026-r1,Valorant Masters London 2026
Life,DRG,6,3,0,0,0,0,0,0,0,55,0,0,all,2026-06-06 12:30:00,https://www.vlr.gg/684610/team-vitality-vs-dragon-ranger-gaming-valorant-masters-london-2026-r1,Valorant Masters London 2026
vo0kashu,DRG,3,1,0,0,0,0,0,0,0,50,1,0,all,2026-06-06 12:30:00,https://www.vlr.gg/684610/team-vitality-vs-dragon-ranger-gaming-valorant-masters-london-2026-r1,Valorant Masters London 2026
Flex1n,DRG,1,0,0,0,0,0,0,0,0,27,0,0,all,2026-06-06 12:30:00,https://www.vlr.gg/684610/team-vitality-vs-dragon-ranger-gaming-valorant-masters-london-2026-r1,Valorant Masters London 2026
Nicc,DRG,4,0,0,0,2,0,0,0,0,47,7,1,all,2026-06-06 12:30:00,https://www.vlr.gg/684610/team-vitality-vs-dragon-ranger-gaming-valorant-masters-london-2026-r1,Valorant Masters London 2026
SpiritZ1,DRG,1,2,0,0,0,0,0,0,0,45,0,0,all,2026-06-06 12:30:00,https://www.vlr.gg/684610/team-vitality-vs-dragon-ranger-gaming-valorant-masters-london-2026-r1,Valorant Masters London 2026
Chronicle,VIT,2,0,1,0,0,0,0,0,0,49,0,0,Lotus,2026-06-06 12:30:00,https://www.vlr.gg/684610/team-vitality-vs-dragon-ranger-gaming-valorant-masters-london-2026-r1,Valorant Masters London 2026
Derke,VIT,7,1,0,0,0,0,0,0,0,64,2,0,Lotus,2026-06-06 12:30:00,https://www.vlr.gg/684610/team-vitality-vs-dragon-ranger-gaming-valorant-masters-london-2026-r1,Valorant Masters London 2026
PROFEK,VIT,3,1,1,0,0,0,0,0,0,61,0,0,Lotus,2026-06-06 12:30:00,https://www.vlr.gg/684610/team-vitality-vs-dragon-ranger-gaming-valorant-masters-london-2026-r1,Valorant Masters London 2026
Jamppi,VIT,1,0,0,1,0,0,0,1,0,66,4,1,Lotus,2026-06-06 12:30:00,https://www.vlr.gg/684610/team-vitality-vs-dragon-ranger-gaming-valorant-masters-london-2026-r1,Valorant Masters London 2026
Sayonara,VIT,2,1,0,1,0,1,0,0,0,73,0,1,Lotus,2026-06-06 12:30:00,https://www.vlr.gg/684610/team-vitality-vs-dragon-ranger-gaming-valorant-masters-london-2026-r1,Valorant Masters London 2026
Life,DRG,1,3,0,0,0,0,0,0,0,57,0,0,Lotus,2026-06-06 12:30:00,https://www.vlr.gg/684610/team-vitality-vs-dragon-ranger-gaming-valorant-masters-london-2026-r1,Valorant Masters London 2026
vo0kashu,DRG,1,1,0,0,0,0,0,0,0,50,1,0,Lotus,2026-06-06 12:30:00,https://www.vlr.gg/684610/team-vitality-vs-dragon-ranger-gaming-valorant-masters-london-2026-r1,Valorant Masters London 2026
Flex1n,DRG,0,0,0,0,0,0,0,0,0,24,0,0,Lotus,2026-06-06 12:30:00,https://www.vlr.gg/684610/team-vitality-vs-dragon-ranger-gaming-valorant-masters-london-2026-r1,Valorant Masters London 2026
Nicc,DRG,2,0,0,0,2,0,0,0,0,36,5,1,Lotus,2026-06-06 12:30:00,https://www.vlr.gg/684610/team-vitality-vs-dragon-ranger-gaming-valorant-masters-london-2026-r1,Valorant Masters London 2026
