team,rival,team_1_select_1,team_2_select_1,team_1_select_2,team_2_select_2,team_1_select_3,team_2_select_3,decider,order,bo,date,source_url,event
TEC,WOL,Lotus,Breeze,Sunset,Haven,Split,Summit,Ascent,A,3,2026-07-09 04:00:00,https://www.vlr.gg/701025/wolves-esports-vs-titan-esports-club-vct-2026-china-stage-2-w1,VCT 2026: China Stage 2
DRG,BLG,Summit,Sunset,Haven,Lotus,Split,Breeze,Ascent,A,3,2026-07-09 06:20:00,https://www.vlr.gg/701026/dragon-ranger-gaming-vs-bilibili-gaming-vct-2026-china-stage-2-w1,VCT 2026: China Stage 2
TE,FPX,Haven,Breeze,Sunset,Summit,Split,Ascent,Lotus,A,3,2026-07-10 04:00:00,https://www.vlr.gg/701027/funplus-phoenix-vs-trace-esports-vct-2026-china-stage-2-w1,VCT 2026: China Stage 2
TYL,JDG,Summit,Breeze,Split,Sunset,Haven,Ascent,Lotus,A,3,2026-07-10 06:10:00,https://www.vlr.gg/701028/jdg-esports-vs-tyloo-vct-2026-china-stage-2-w1,VCT 2026: China Stage 2
TEC,DRG,Lotus,Summit,Breeze,Haven,Split,Ascent,Sunset,A,3,2026-07-11 04:00:00,https://www.vlr.gg/701029/dragon-ranger-gaming-vs-titan-esports-club-vct-2026-china-stage-2-w1,VCT 2026: China Stage 2
WOL,BLG,Breeze,Sunset,Summit,Split,Ascent,Haven,Lotus,A,3,2026-07-11 07:35:00,https://www.vlr.gg/701030/bilibili-gaming-vs-wolves-esports-vct-2026-china-stage-2-w1,VCT 2026: China Stage 2
NOVA,FPX,Summit,Haven,Lotus,Sunset,Breeze,Ascent,Split,A,3,2026-07-12 04:00:00,https://www.vlr.gg/701031/nova-esports-vs-funplus-phoenix-vct-2026-china-stage-2-w1,VCT 2026: China Stage 2
TE,TYL,Haven,Summit,Breeze,Sunset,Split,Ascent,Lotus,A,3,2026-07-12 06:10:00,https://www.vlr.gg/701032/tyloo-vs-trace-esports-vct-2026-china-stage-2-w1,VCT 2026: China Stage 2
AG,WOL,Sunset,Breeze,Lotus,Ascent,Summit,Split,Haven,A,3,2026-07-14 05:00:00,https://www.vlr.gg/701036/wolves-esports-vs-all-gamers-vct-2026-china-stage-2-w2,VCT 2026: China Stage 2
JDG,FPX,Summit,Haven,Breeze,Ascent,Lotus,Sunset,Split,A,3,2026-07-15 05:00:00,https://www.vlr.gg/701038/jdg-esports-vs-funplus-phoenix-vct-2026-china-stage-2-w2,VCT 2026: China Stage 2
EDG,TYL,Split,Summit,Sunset,Breeze,Haven,Ascent,Lotus,A,3,2026-07-15 07:20:00,https://www.vlr.gg/701039/edward-gaming-vs-tyloo-vct-2026-china-stage-2-w2,VCT 2026: China Stage 2
BLG,AG,Split,Breeze,Summit,Haven,Ascent,Lotus,Sunset,A,3,2026-07-16 05:00:00,https://www.vlr.gg/701040/all-gamers-vs-bilibili-gaming-vct-2026-china-stage-2-w2,VCT 2026: China Stage 2
XLG,DRG,Sunset,Summit,Lotus,Haven,Split,Ascent,Breeze,A,3,2026-07-16 08:25:00,https://www.vlr.gg/701041/xi-lai-gaming-vs-dragon-ranger-gaming-vct-2026-china-stage-2-w2,VCT 2026: China Stage 2
JDG,NOVA,Summit,Haven,Split,Lotus,Ascent,Sunset,Breeze,A,3,2026-07-17 03:00:00,https://www.vlr.gg/701042/nova-esports-vs-jdg-esports-vct-2026-china-stage-2-w2,VCT 2026: China Stage 2
FPX,TYL,Haven,Summit,Ascent,Lotus,Sunset,Breeze,Split,A,3,2026-07-17 06:00:00,https://www.vlr.gg/701043/tyloo-vs-funplus-phoenix-vct-2026-china-stage-2-w2,VCT 2026: China Stage 2
EDG,TE,Summit,Haven,Breeze,Ascent,Lotus,Split,Sunset,A,3,2026-07-17 09:30:00,https://www.vlr.gg/701044/trace-esports-vs-edward-gaming-vct-2026-china-stage-2-w2,VCT 2026: China Stage 2
BLG,TEC,Breeze,Lotus,Summit,Split,Ascent,Sunset,Haven,A,3,2026-07-18 05:00:00,https://www.vlr.gg/701045/titan-esports-club-vs-bilibili-gaming-vct-2026-china-stage-2-w2,VCT 2026: China Stage 2
XLG,AG,Sunset,Breeze,Summit,Haven,Ascent,Lotus,Split,A,3,2026-07-18 09:00:00,https://www.vlr.gg/701046/all-gamers-vs-xi-lai-gaming-vct-2026-china-stage-2-w2,VCT 2026: China Stage 2
TE,NOVA,Haven,Summit,Ascent,Sunset,Split,Lotus,Breeze,A,3,2026-07-19 03:00:00,https://www.vlr.gg/701047/trace-esports-vs-nova-esports-vct-2026-china-stage-2-w2,VCT 2026: China Stage 2
DRG,WOL,Summit,Breeze,Sunset,Haven,Split,Ascent,Lotus,A,3,2026-07-19 06:25:00,https://www.vlr.gg/701048/dragon-ranger-gaming-vs-wolves-esports-vct-2026-china-stage-2-w2,VCT 2026: China Stage 2
EDG,JDG,Lotus,Summit,Breeze,Haven,Split,Ascent,Sunset,A,3,2026-07-19 09:45:00,https://www.vlr.gg/701049/edward-gaming-vs-jdg-esports-vct-2026-china-stage-2-w2,VCT 2026: China Stage 2
AG,TEC,Breeze,Lotus,Split,Summit,Sunset,Haven,Ascent,A,3,2026-07-20 05:00:00,https://www.vlr.gg/701050/titan-esports-club-vs-all-gamers-vct-2026-china-stage-2-w3,VCT 2026: China Stage 2
XLG,BLG,Sunset,Breeze,Lotus,Summit,Haven,Split,Ascent,A,3,2026-07-20 07:25:00,https://www.vlr.gg/701051/bilibili-gaming-vs-xi-lai-gaming-vct-2026-china-stage-2-w3,VCT 2026: China Stage 2
JDG,TE,Summit,Haven,Lotus,Ascent,Sunset,Breeze,Split,A,3,2026-07-21 05:00:00,https://www.vlr.gg/701052/jdg-esports-vs-trace-esports-vct-2026-china-stage-2-w3,VCT 2026: China Stage 2
EDG,NOVA,Ascent,Breeze,Sunset,Lotus,Haven,Summit,Split,A,3,2026-07-21 07:15:00,https://www.vlr.gg/701053/edward-gaming-vs-nova-esports-vct-2026-china-stage-2-w3,VCT 2026: China Stage 2
XLG,WOL,Sunset,Breeze,Summit,Lotus,Haven,Ascent,Split,A,3,2026-07-22 05:00:00,https://www.vlr.gg/701054/xi-lai-gaming-vs-wolves-esports-vct-2026-china-stage-2-w3,VCT 2026: China Stage 2
AG,DRG,Breeze,Summit,Split,Haven,Sunset,Ascent,Lotus,A,3,2026-07-22 08:20:00,https://www.vlr.gg/701055/all-gamers-vs-dragon-ranger-gaming-vct-2026-china-stage-2-w3,VCT 2026: China Stage 2
TYL,NOVA,Ascent,Breeze,Split,Summit,Haven,Sunset,Lotus,A,3,2026-07-23 05:00:00,https://www.vlr.gg/701056/tyloo-vs-nova-esports-vct-2026-china-stage-2-w3,VCT 2026: China Stage 2
EDG,FPX,Summit,Haven,Breeze,Ascent,Lotus,Sunset,Split,A,3,2026-07-23 07:35:00,https://www.vlr.gg/701057/funplus-phoenix-vs-edward-gaming-vct-2026-china-stage-2-w3,VCT 2026: China Stage 2
TEC,TE,Lotus,Haven,Breeze,Sunset,Summit,Split,Ascent,A,3,2026-07-24 05:00:00,https://www.vlr.gg/701058/trace-esports-vs-titan-esports-club-vct-2026-china-stage-2-seeding,VCT 2026: China Stage 2
EDG,AG,Lotus,Breeze,Sunset,Haven,Summit,Ascent,Split,A,3,2026-07-24 07:35:00,https://www.vlr.gg/701059/edward-gaming-vs-all-gamers-vct-2026-china-stage-2-seeding,VCT 2026: China Stage 2
JDG,DRG,Sunset,Summit,Split,Breeze,Lotus,Haven,Ascent,A,3,2026-07-25 05:00:00,https://www.vlr.gg/701060/jdg-esports-vs-dragon-ranger-gaming-vct-2026-china-stage-2-seeding,VCT 2026: China Stage 2
XLG,TYL,Sunset,Summit,Breeze,Lotus,Haven,Ascent,Split,A,3,2026-07-25 08:35:00,https://www.vlr.gg/701061/tyloo-vs-xi-lai-gaming-vct-2026-china-stage-2-seeding,VCT 2026: China Stage 2
FPX,WOL,Haven,Breeze,Sunset,Lotus,Split,Ascent,Summit,A,3,2026-07-26 05:00:00,https://www.vlr.gg/701062/funplus-phoenix-vs-wolves-esports-vct-2026-china-stage-2-seeding,VCT 2026: China Stage 2
BLG,NOVA,Split,Summit,Breeze,Ascent,Sunset,Haven,Lotus,A,3,2026-07-26 07:30:00,https://www.vlr.gg/701063/nova-esports-vs-bilibili-gaming-vct-2026-china-stage-2-seeding,VCT 2026: China Stage 2
AT,TE,Breeze,Haven,Sunset,Lotus,Ascent,Split,Summit,A,3,2026-08-05 04:00:00,https://www.vlr.gg/724619/trace-esports-vs-a-team-vct-2026-china-stage-2-ur1,VCT 2026: China Stage 2
KBG,TEC,Split,Lotus,Sunset,Summit,Haven,Breeze,Ascent,A,3,2026-08-05 06:00:00,https://www.vlr.gg/724620/titan-esports-club-vs-keepbest-gaming-vct-2026-china-stage-2-ur1,VCT 2026: China Stage 2
