team,rival,team_1_select_1,team_2_select_1,team_1_select_2,team_2_select_2,team_1_select_3,team_2_select_3,decider,order,bo,date,source_url,event
KC,NAVI,Split,Haven,Lotus,Breeze,Bind,Pearl,Fracture,A,3,2026-04-30 11:00:00,https://www.vlr.gg/644736/natus-vincere-vs-karmine-corp-vct-2026-emea-stage-1-w5,VCT 2026: EMEA Stage 1
BBL,FNC,Bind,Pearl,Haven,Fracture,Split,Breeze,Lotus,A,3,2026-04-30 13:10:00,https://www.vlr.gg/644737/bbl-esports-vs-fnatic-vct-2026-emea-stage-1-w5,VCT 2026: EMEA Stage 1
GX,EF,Fracture,Haven,Split,Breeze,Bind,Pearl,Lotus,A,3,2026-05-01 11:00:00,https://www.vlr.gg/644738/giantx-vs-eternal-fire-vct-2026-emea-stage-1-w5,VCT 2026: EMEA Stage 1
M8,TL,Breeze,Pearl,Split,Lotus,Fracture,Bind,Haven,A,3,2026-05-01 13:05:00,https://www.vlr.gg/644739/gentle-mates-vs-team-liquid-vct-2026-emea-stage-1-w5,VCT 2026: EMEA Stage 1
TH,EF,Split,Haven,Fracture,Pearl,Ascent,Breeze,Lotus,A,3,2026-05-07 11:00:00,https://www.vlr.gg/660381/eternal-fire-vs-team-heretics-vct-2026-emea-stage-1-ur1,VCT 2026: EMEA Stage 1
VIT,TL,Fracture,Haven,Pearl,Ascent,Breeze,Split,Lotus,A,3,2026-05-07 13:55:00,https://www.vlr.gg/660382/team-liquid-vs-team-vitality-vct-2026-emea-stage-1-ur1,VCT 2026: EMEA Stage 1
EF,FUT,Haven,Fracture,Pearl,Ascent,Breeze,Lotus,Split,A,3,2026-05-08 11:00:00,https://www.vlr.gg/660383/fut-esports-vs-eternal-fire-vct-2026-emea-stage-1-ubsf,VCT 2026: EMEA Stage 1
FNC,VIT,Pearl,Fracture,Breeze,Haven,Ascent,Split,Lotus,A,3,2026-05-08 13:55:00,https://www.vlr.gg/660384/fnatic-vs-team-vitality-vct-2026-emea-stage-1-ubsf,VCT 2026: EMEA Stage 1
BBL,TH,Fracture,Pearl,Breeze,Ascent,Split,Haven,Lotus,A,3,2026-05-09 11:00:00,https://www.vlr.gg/660387/team-heretics-vs-bbl-esports-vct-2026-emea-stage-1-lr1,VCT 2026: EMEA Stage 1
M8,TL,Breeze,Pearl,Split,Ascent,Lotus,Haven,Fracture,A,3,2026-05-09 13:30:00,https://www.vlr.gg/660388/team-liquid-vs-gentle-mates-vct-2026-emea-stage-1-lr1,VCT 2026: EMEA Stage 1
TH,FNC,Haven,Pearl,Fracture,Lotus,Split,Breeze,Ascent,A,3,2026-05-10 11:00:00,https://www.vlr.gg/660389/fnatic-vs-team-heretics-vct-2026-emea-stage-1-lr2,VCT 2026: EMEA Stage 1
M8,EF,Breeze,Haven,Ascent,Lotus,Split,Fracture,Pearl,A,3,2026-05-10 14:35:00,https://www.vlr.gg/660390/eternal-fire-vs-gentle-mates-vct-2026-emea-stage-1-lr2,VCT 2026: EMEA Stage 1
VIT,FUT,Fracture,Breeze,Pearl,Ascent,Haven,Lotus,Split,A,3,2026-05-15 11:00:00,https://www.vlr.gg/660385/fut-esports-vs-team-vitality-vct-2026-emea-stage-1-ubf,VCT 2026: EMEA Stage 1
EF,TH,Haven,Pearl,Lotus,Fracture,Split,Breeze,Ascent,A,3,2026-05-15 14:45:00,https://www.vlr.gg/660391/team-heretics-vs-eternal-fire-vct-2026-emea-stage-1-lr3,VCT 2026: EMEA Stage 1
FUT,TH,Fracture,Pearl,Haven,Lotus,Ascent,Breeze,Split,A,5,2026-05-16 12:00:00,https://www.vlr.gg/660392/fut-esports-vs-team-heretics-vct-2026-emea-stage-1-lbf,VCT 2026: EMEA Stage 1
VIT,TH,Fracture,Ascent,Breeze,Lotus,Pearl,Split,Haven,A,5,2026-05-17 12:00:00,https://www.vlr.gg/660386/team-vitality-vs-team-heretics-vct-2026-emea-stage-1-gf,VCT 2026: EMEA Stage 1
