team,rival,team_1_select_1,team_2_select_1,team_1_select_2,team_2_select_2,team_1_select_3,team_2_select_3,decider,order,bo,date,source_url,event
GE,GEN,Pearl,Lotus,Bind,Split,Fracture,Breeze,Haven,A,3,2026-04-03 04:00:00,https://www.vlr.gg/644652/gen-g-vs-global-esports-vct-2026-pacific-stage-1-w1,VCT 2026: Pacific Stage 1
T1,VL,Breeze,Bind,Haven,Pearl,Fracture,Split,Lotus,A,3,2026-04-03 06:15:00,https://www.vlr.gg/644653/t1-vs-varrel-vct-2026-pacific-stage-1-w1,VCT 2026: Pacific Stage 1
PRX,NS,Bind,Breeze,Fracture,Split,Pearl,Haven,Lotus,A,3,2026-04-04 04:00:00,https://www.vlr.gg/644654/nongshim-redforce-vs-paper-rex-vct-2026-pacific-stage-1-w1,VCT 2026: Pacific Stage 1
DFM,FS,Breeze,Lotus,Pearl,Bind,Haven,Fracture,Split,A,3,2026-04-04 07:10:00,https://www.vlr.gg/644655/full-sense-vs-detonation-focusme-vct-2026-pacific-stage-1-w1,VCT 2026: Pacific Stage 1
TS,KRX,Haven,Bind,Pearl,Fracture,Breeze,Lotus,Split,A,3,2026-04-05 04:00:00,https://www.vlr.gg/644656/team-secret-vs-drx-vct-2026-pacific-stage-1-w1,VCT 2026: Pacific Stage 1
ZETA,RRQ,Pearl,Breeze,Split,Fracture,Lotus,Bind,Haven,A,3,2026-04-05 06:30:00,https://www.vlr.gg/644657/rex-regum-qeon-vs-zeta-division-vct-2026-pacific-stage-1-w1,VCT 2026: Pacific Stage 1
DFM,T1,Breeze,Haven,Pearl,Lotus,Bind,Fracture,Split,A,3,2026-04-10 04:00:00,https://www.vlr.gg/644658/detonation-focusme-vs-t1-vct-2026-pacific-stage-1-w2,VCT 2026: Pacific Stage 1
NS,KRX,Pearl,Bind,Haven,Fracture,Breeze,Split,Lotus,A,3,2026-04-10 06:35:00,https://www.vlr.gg/644659/nongshim-redforce-vs-drx-vct-2026-pacific-stage-1-w2,VCT 2026: Pacific Stage 1
GE,TS,Fracture,Haven,Split,Lotus,Pearl,Bind,Breeze,A,3,2026-04-11 04:00:00,https://www.vlr.gg/644660/team-secret-vs-global-esports-vct-2026-pacific-stage-1-w2,VCT 2026: Pacific Stage 1
VL,RRQ,Pearl,Breeze,Bind,Split,Lotus,Haven,Fracture,A,3,2026-04-11 06:25:00,https://www.vlr.gg/644661/rex-regum-qeon-vs-varrel-vct-2026-pacific-stage-1-w2,VCT 2026: Pacific Stage 1
FS,ZETA,Breeze,Pearl,Fracture,Split,Haven,Lotus,Bind,A,3,2026-04-12 04:00:00,https://www.vlr.gg/644662/full-sense-vs-zeta-division-vct-2026-pacific-stage-1-w2,VCT 2026: Pacific Stage 1
GEN,PRX,Split,Pearl,Haven,Fracture,Breeze,Bind,Lotus,A,3,2026-04-12 05:50:00,https://www.vlr.gg/644663/gen-g-vs-paper-rex-vct-2026-pacific-stage-1-w2,VCT 2026: Pacific Stage 1
FS,VL,Breeze,Pearl,Haven,Lotus,Fracture,Split,Bind,A,3,2026-04-17 04:00:00,https://www.vlr.gg/644665/full-sense-vs-varrel-vct-2026-pacific-stage-1-w3,VCT 2026: Pacific Stage 1
TS,PRX,Haven,Pearl,Breeze,Split,Bind,Lotus,Fracture,A,3,2026-04-17 06:20:00,https://www.vlr.gg/644666/team-secret-vs-paper-rex-vct-2026-pacific-stage-1-w3,VCT 2026: Pacific Stage 1
KRX,GE,Bind,Pearl,Fracture,Haven,Split,Breeze,Lotus,A,3,2026-04-18 04:00:00,https://www.vlr.gg/644667/kiwoom-drx-vs-global-esports-vct-2026-pacific-stage-1-w3,VCT 2026: Pacific Stage 1
ZETA,DFM,Fracture,Haven,Bind,Lotus,Breeze,Split,Pearl,A,3,2026-04-18 06:20:00,https://www.vlr.gg/644668/zeta-division-vs-detonation-focusme-vct-2026-pacific-stage-1-w3,VCT 2026: Pacific Stage 1
