teamA,map,side,teamB,rndA,rndB,round,winCon,date,map_order,event,source_url
SEN,Breeze,atk,KRÜ,0,1,10,elim,2026-04-10 17:00:00,1,VCT 2026: Americas Stage 1,https://www.vlr.gg/645474/sentinels-vs-kr-esports-vct-2026-americas-stage-1-w1
SEN,Breeze,atk,KRÜ,0,1,11,elim,2026-04-10 17:00:00,1,VCT 2026: Americas Stage 1,https://www.vlr.gg/645474/sentinels-vs-kr-esports-vct-2026-americas-stage-1-w1
SEN,Breeze,atk,KRÜ,0,1,12,elim,2026-04-10 17:00:00,1,VCT 2026: Americas Stage 1,https://www.vlr.gg/645474/sentinels-vs-kr-esports-vct-2026-americas-stage-1-w1
SEN,Breeze,def,KRÜ,0,1,13,elim,2026-04-10 17:00:00,1,VCT 2026: Americas Stage 1,https://www.vlr.gg/645474/sentinels-vs-kr-esports-vct-2026-americas-stage-1-w1
SEN,Breeze,def,KRÜ,0,1,14,elim,2026-04-10 17:00:00,1,VCT 2026: Americas Stage 1,https://www.vlr.gg/645474/sentinels-vs-kr-esports-vct-2026-americas-stage-1-w1
SEN,Breeze,def,KRÜ,1,0,15,elim,2026-04-10 17:00:00,1,VCT 2026: Americas Stage 1,https://www.vlr.gg/645474/sentinels-vs-kr-esports-vct-2026-americas-stage-1-w1
SEN,Breeze,def,KRÜ,0,1,16,elim,2026-04-10 17:00:00,1,VCT 2026: Americas Stage 1,https://www.vlr.gg/645474/sentinels-vs-kr-esports-vct-2026-americas-stage-1-w1
SEN,Breeze,def,KRÜ,1,0,17,defus,2026-04-10 17:00:00,1,VCT 2026: Americas Stage 1,https://www.vlr.gg/645474/sentinels-vs-kr-esports-vct-2026-americas-stage-1-w1
SEN,Breeze,def,KRÜ,1,0,18,tim,2026-04-10 17:00:00,1,VCT 2026: Americas Stage 1,https://www.vlr.gg/645474/sentinels-vs-kr-esports-vct-2026-americas-stage-1-w1
SEN,Breeze,def,KRÜ,0,1,19,elim,2026-04-10 17:00:00,1,VCT 2026: Americas Stage 1,https://www.vlr.gg/645474/sentinels-vs-kr-esports-vct-2026-americas-stage-1-w1
SEN,Breeze,def,KRÜ,1,0,20,elim,2026-04-10 17:00:00,1,VCT 2026: Americas Stage 1,https://www.vlr.gg/645474/sentinels-vs-kr-esports-vct-2026-americas-stage-1-w1
SEN,Breeze,def,KRÜ,0,1,21,boom,2026-04-10 17:00:00,1,VCT 2026: Americas Stage 1,https://www.vlr.gg/645474/sentinels-vs-kr-esports-vct-2026-americas-stage-1-w1
SEN,Breeze,def,KRÜ,0,1,22,elim,2026-04-10 17:00:00,1,VCT 2026: Americas Stage 1,https://www.vlr.gg/645474/sentinels-vs-kr-esports-vct-2026-americas-stage-1-w1
G2,Lotus,atk,MIBR,1,0,1,elim,2026-04-10 19:40:00,0,VCT 2026: Americas Stage 1,https://www.vlr.gg/645475/g2-esports-vs-mibr-vct-2026-americas-stage-1-w1
G2,Lotus,atk,MIBR,1,0,2,elim,2026-04-10 19:40:00,0,VCT 2026: Americas Stage 1,https://www.vlr.gg/645475/g2-esports-vs-mibr-vct-2026-americas-stage-1-w1
G2,Lotus,atk,MIBR,0,1,3,elim,2026-04-10 19:40:00,0,VCT 2026: Americas Stage 1,https://www.vlr.gg/645475/g2-esports-vs-mibr-vct-2026-americas-stage-1-w1
G2,Lotus,atk,MIBR,1,0,4,elim,2026-04-10 19:40:00,0,VCT 2026: Americas Stage 1,https://www.vlr.gg/645475/g2-esports-vs-mibr-vct-2026-americas-stage-1-w1
G2,Lotus,atk,MIBR,1,0,5,elim,2026-04-10 19:40:00,0,VCT 2026: Americas Stage 1,https://www.vlr.gg/645475/g2-esports-vs-mibr-vct-2026-americas-stage-1-w1
G2,Lotus,atk,MIBR,0,1,6,elim,2026-04-10 19:40:00,0,VCT 2026: Americas Stage 1,https://www.vlr.gg/645475/g2-esports-vs-mibr-vct-2026-americas-stage-1-w1
G2,Lotus,atk,MIBR,0,1,7,defus,2026-04-10 19:40:00,0,VCT 2026: Americas Stage 1,https://www.vlr.gg/645475/g2-esports-vs-mibr-vct-2026-americas-stage-1-w1
G2,Lotus,atk,MIBR,0,1,8,elim,2026-04-10 19:40:00,0,VCT 2026: Americas Stage 1,https://www.vlr.gg/645475/g2-esports-vs-mibr-vct-2026-americas-stage-1-w1
G2,Lotus,atk,MIBR,1,0,9,elim,2026-04-10 19:40:00,0,VCT 2026: Americas Stage 1,https://www.vlr.gg/645475/g2-esports-vs-mibr-vct-2026-americas-stage-1-w1
G2,Lotus,atk,MIBR,0,1,10,defus,2026-04-10 19:40:00,0,VCT 2026: Americas Stage 1,https://www.vlr.gg/645475/g2-esports-vs-mibr-vct-2026-americas-stage-1-w1
G2,Lotus,atk,MIBR,0,1,11,elim,2026-04-10 19:40:00,0,VCT 2026: Americas Stage 1,https://www.vlr.gg/645475/g2-esports-vs-mibr-vct-2026-americas-stage-1-w1
G2,Lotus,atk,MIBR,1,0,12,elim,2026-04-10 19:40:00,0,VCT 2026: Americas Stage 1,https://www.vlr.gg/645475/g2-esports-vs-mibr-vct-2026-americas-stage-1-w1
G2,Lotus,def,MIBR,0,1,13,elim,2026-04-10 19:40:00,0,VCT 2026: Americas Stage 1,https://www.vlr.gg/645475/g2-esports-vs-mibr-vct-2026-americas-stage-1-w1
G2,Lotus,def,MIBR,0,1,14,elim,2026-04-10 19:40:00,0,VCT 2026: Americas Stage 1,https://www.vlr.gg/645475/g2-esports-vs-mibr-vct-2026-americas-stage-1-w1
G2,Lotus,def,MIBR,1,0,15,defus,2026-04-10 19:40:00,0,VCT 2026: Americas Stage 1,https://www.vlr.gg/645475/g2-esports-vs-mibr-vct-2026-americas-stage-1-w1
G2,Lotus,def,MIBR,0,1,16,elim,2026-04-10 19:40:00,0,VCT 2026: Americas Stage 1,https://www.vlr.gg/645475/g2-esports-vs-mibr-vct-2026-americas-stage-1-w1
G2,Lotus,def,MIBR,0,1,17,boom,2026-04-10 19:40:00,0,VCT 2026: Americas Stage 1,https://www.vlr.gg/645475/g2-esports-vs-mibr-vct-2026-americas-stage-1-w1
G2,Lotus,def,MIBR,0,1,18,boom,2026-04-10 19:40:00,0,VCT 2026: Americas Stage 1,https://www.vlr.gg/645475/g2-esports-vs-mibr-vct-2026-americas-stage-1-w1
G2,Lotus,def,MIBR,1,0,19,defus,2026-04-10 19:40:00,0,VCT 2026: Americas Stage 1,https://www.vlr.gg/645475/g2-esports-vs-mibr-vct-2026-americas-stage-1-w1
G2,Lotus,def,MIBR,0,1,20,elim,2026-04-10 19:40:00,0,VCT 2026: Americas Stage 1,https://www.vlr.gg/645475/g2-esports-vs-mibr-vct-2026-americas-stage-1-w1
G2,Lotus,def,MIBR,0,1,21,elim,2026-04-10 19:40:00,0,VCT 2026: Americas Stage 1,https://www.vlr.gg/645475/g2-esports-vs-mibr-vct-2026-americas-stage-1-w1
G2,Split,atk,MIBR,0,1,1,defus,2026-04-10 19:40:00,1,VCT 2026: Americas Stage 1,https://www.vlr.gg/645475/g2-esports-vs-mibr-vct-2026-americas-stage-1-w1
G2,Split,atk,MIBR,0,1,2,elim,2026-04-10 19:40:00,1,VCT 2026: Americas Stage 1,https://www.vlr.gg/645475/g2-esports-vs-mibr-vct-2026-americas-stage-1-w1
G2,Split,atk,MIBR,0,1,3,elim,2026-04-10 19:40:00,1,VCT 2026: Americas Stage 1,https://www.vlr.gg/645475/g2-esports-vs-mibr-vct-2026-americas-stage-1-w1
G2,Split,atk,MIBR,1,0,4,elim,2026-04-10 19:40:00,1,VCT 2026: Americas Stage 1,https://www.vlr.gg/645475/g2-esports-vs-mibr-vct-2026-americas-stage-1-w1
G2,Split,atk,MIBR,1,0,5,elim,2026-04-10 19:40:00,1,VCT 2026: Americas Stage 1,https://www.vlr.gg/645475/g2-esports-vs-mibr-vct-2026-americas-stage-1-w1
G2,Split,atk,MIBR,1,0,6,elim,2026-04-10 19:40:00,1,VCT 2026: Americas Stage 1,https://www.vlr.gg/645475/g2-esports-vs-mibr-vct-2026-americas-stage-1-w1
G2,Split,atk,MIBR,1,0,7,boom,2026-04-10 19:40:00,1,VCT 2026: Americas Stage 1,https://www.vlr.gg/645475/g2-esports-vs-mibr-vct-2026-americas-stage-1-w1
G2,Split,atk,MIBR,1,0,8,elim,2026-04-10 19:40:00,1,VCT 2026: Americas Stage 1,https://www.vlr.gg/645475/g2-esports-vs-mibr-vct-2026-americas-stage-1-w1
G2,Split,atk,MIBR,1,0,9,elim,2026-04-10 19:40:00,1,VCT 2026: Americas Stage 1,https://www.vlr.gg/645475/g2-esports-vs-mibr-vct-2026-americas-stage-1-w1
G2,Split,atk,MIBR,0,1,10,elim,2026-04-10 19:40:00,1,VCT 2026: Americas Stage 1,https://www.vlr.gg/645475/g2-esports-vs-mibr-vct-2026-americas-stage-1-w1
G2,Split,atk,MIBR,0,1,11,elim,2026-04-10 19:40:00,1,VCT 2026: Americas Stage 1,https://www.vlr.gg/645475/g2-esports-vs-mibr-vct-2026-americas-stage-1-w1
G2,Split,atk,MIBR,0,1,12,defus,2026-04-10 19:40:00,1,VCT 2026: Americas Stage 1,https://www.vlr.gg/645475/g2-esports-vs-mibr-vct-2026-americas-stage-1-w1
G2,Split,atk,MIBR,0,1,25,defus,2026-04-10 19:40:00,1,VCT 2026: Americas Stage 1,https://www.vlr.gg/645475/g2-esports-vs-mibr-vct-2026-americas-stage-1-w1
G2,Split,atk,MIBR,0,1,27,elim,2026-04-10 19:40:00,1,VCT 2026: Americas Stage 1,https://www.vlr.gg/645475/g2-esports-vs-mibr-vct-2026-americas-stage-1-w1
G2,Split,atk,MIBR,0,1,29,elim,2026-04-10 19:40:00,1,VCT 2026: Americas Stage 1,https://www.vlr.gg/645475/g2-esports-vs-mibr-vct-2026-americas-stage-1-w1
