team,rival,team_1_select_1,team_2_select_1,team_1_select_2,team_2_select_2,team_1_select_3,team_2_select_3,decider,order,bo,date,source_url,event
KRÜ,SEN,Fracture,Pearl,Lotus,Breeze,Haven,Split,Bind,A,3,2026-04-10 17:00:00,https://www.vlr.gg/645474/sentinels-vs-kr-esports-vct-2026-americas-stage-1-w1,VCT 2026: Americas Stage 1
G2,MIBR,Fracture,Haven,Lotus,Split,Breeze,Pearl,Bind,A,3,2026-04-10 19:40:00,https://www.vlr.gg/645475/g2-esports-vs-mibr-vct-2026-americas-stage-1-w1,VCT 2026: Americas Stage 1
EG,100T,Bind,Fracture,Haven,Breeze,Lotus,Pearl,Split,A,3,2026-04-11 17:00:00,https://www.vlr.gg/645476/100-thieves-vs-evil-geniuses-vct-2026-americas-stage-1-w1,VCT 2026: Americas Stage 1
ENVY,LOUD,Split,Fracture,Lotus,Pearl,Haven,Bind,Breeze,A,3,2026-04-11 20:35:00,https://www.vlr.gg/645477/envy-vs-loud-vct-2026-americas-stage-1-w1,VCT 2026: Americas Stage 1
C9,LEV,Fracture,Lotus,Pearl,Haven,Breeze,Bind,Split,A,3,2026-04-12 17:00:00,https://www.vlr.gg/645478/cloud9-vs-leviat-n-vct-2026-americas-stage-1-w1,VCT 2026: Americas Stage 1
NRG,FUR,Haven,Bind,Pearl,Split,Breeze,Lotus,Fracture,A,3,2026-04-12 19:05:00,https://www.vlr.gg/645479/furia-vs-nrg-vct-2026-americas-stage-1-w1,VCT 2026: Americas Stage 1
C9,ENVY,Fracture,Breeze,Split,Pearl,Lotus,Bind,Haven,A,3,2026-04-17 17:00:00,https://www.vlr.gg/645480/cloud9-vs-envy-vct-2026-americas-stage-1-w2,VCT 2026: Americas Stage 1
FUR,EG,Bind,Split,Haven,Pearl,Fracture,Breeze,Lotus,A,3,2026-04-17 20:05:00,https://www.vlr.gg/645481/furia-vs-evil-geniuses-vct-2026-americas-stage-1-w2,VCT 2026: Americas Stage 1
G2,LEV,Fracture,Lotus,Breeze,Split,Pearl,Haven,Bind,A,3,2026-04-18 17:00:00,https://www.vlr.gg/645482/g2-esports-vs-leviat-n-vct-2026-americas-stage-1-w2,VCT 2026: Americas Stage 1
LOUD,MIBR,Fracture,Pearl,Haven,Split,Bind,Lotus,Breeze,A,3,2026-04-18 20:30:00,https://www.vlr.gg/645483/mibr-vs-loud-vct-2026-americas-stage-1-w2,VCT 2026: Americas Stage 1
KRÜ,NRG,Fracture,Bind,Lotus,Split,Haven,Breeze,Pearl,A,3,2026-04-19 17:00:00,https://www.vlr.gg/645484/nrg-vs-kr-esports-vct-2026-americas-stage-1-w2,VCT 2026: Americas Stage 1
100T,SEN,Lotus,Pearl,Haven,Split,Fracture,Breeze,Bind,A,3,2026-04-19 19:20:00,https://www.vlr.gg/645485/100-thieves-vs-sentinels-vct-2026-americas-stage-1-w2,VCT 2026: Americas Stage 1
ENVY,LEV,Split,Lotus,Bind,Fracture,Breeze,Pearl,Haven,A,3,2026-04-24 17:00:00,https://www.vlr.gg/645486/leviat-n-vs-envy-vct-2026-americas-stage-1-w3,VCT 2026: Americas Stage 1
G2,LOUD,Fracture,Bind,Haven,Pearl,Lotus,Split,Breeze,A,3,2026-04-24 18:40:00,https://www.vlr.gg/645487/g2-esports-vs-loud-vct-2026-americas-stage-1-w3,VCT 2026: Americas Stage 1
KRÜ,FUR,Fracture,Bind,Lotus,Haven,Pearl,Breeze,Split,A,3,2026-04-25 17:00:00,https://www.vlr.gg/645488/furia-vs-kr-esports-vct-2026-americas-stage-1-w3,VCT 2026: Americas Stage 1
NRG,100T,Bind,Fracture,Pearl,Lotus,Split,Haven,Breeze,A,3,2026-04-25 19:05:00,https://www.vlr.gg/645489/nrg-vs-100-thieves-vct-2026-americas-stage-1-w3,VCT 2026: Americas Stage 1
