team,player,agent,ratingBoth,ratingT,rating-ct,acsBoth,acsT,acsCT,killsBoth,killsT,killsCT,deadBoth,deadT,deadCT,assistsBoth,assistsT,assistsCT,k-dBoth,k-dT,k-dCT,kastBoth,kastT,kastCT,adrBoth,adrT,adrCT,hsBoth,hsT,hsCT,fkBoth,fkT,fkCT,fdBoth,fdT,fdCT,fk-fdBoth,fk-fdT,fk-fdCT,map,map_id_vlr,map_duration,date,source_url,event
TL,nAts,Cypher,0.94,0.55,1.22,184.0,146.0,212.0,40.0,12.0,28.0,41.0,21.0,20.0,6.0,3.0,3.0,-1.0,-9.0,8.0,0.6,0.52,0.66,129.0,111.0,141.0,0.22,0.27,0.2,2.0,0.0,2.0,11.0,8.0,3.0,-9.0,-8.0,-1.0,all,all,all,2026-09-24 05:00:00,https://www.vlr.gg/753455/team-liquid-vs-paper-rex-valorant-champions-2026-opening-c,Valorant Champions 2026
TL,trexx,Sova,0.93,0.81,1.01,189.0,177.0,199.0,38.0,16.0,22.0,45.0,23.0,22.0,22.0,8.0,14.0,-7.0,-7.0,0.0,0.75,0.84,0.69,133.0,128.0,137.0,0.29,0.38,0.24,3.0,1.0,2.0,4.0,1.0,3.0,-1.0,0.0,-1.0,all,all,all,2026-09-24 05:00:00,https://www.vlr.gg/753455/team-liquid-vs-paper-rex-valorant-champions-2026-opening-c,Valorant Champions 2026
TL,Kicks,Omen,0.87,0.71,1.0,147.0,135.0,155.0,28.0,9.0,19.0,43.0,20.0,23.0,29.0,15.0,14.0,-15.0,-11.0,-4.0,0.65,0.68,0.63,101.0,86.0,111.0,0.24,0.17,0.28,4.0,1.0,3.0,3.0,1.0,2.0,1.0,0.0,1.0,all,all,all,2026-09-24 05:00:00,https://www.vlr.gg/753455/team-liquid-vs-paper-rex-valorant-champions-2026-opening-c,Valorant Champions 2026
PRX,something,Yoru,1.38,1.21,1.62,245.0,232.0,263.0,58.0,32.0,26.0,33.0,21.0,12.0,8.0,5.0,3.0,25.0,11.0,14.0,0.75,0.66,0.88,150.0,144.0,158.0,0.32,0.37,0.28,6.0,3.0,3.0,6.0,5.0,1.0,0.0,-2.0,2.0,all,all,all,2026-09-24 05:00:00,https://www.vlr.gg/753455/team-liquid-vs-paper-rex-valorant-champions-2026-opening-c,Valorant Champions 2026
PRX,d4v41,Chamber,1.05,0.98,1.14,200.0,187.0,220.0,46.0,25.0,21.0,36.0,21.0,15.0,7.0,2.0,5.0,10.0,4.0,6.0,0.75,0.71,0.8,125.0,112.0,144.0,0.27,0.3,0.24,10.0,6.0,4.0,6.0,3.0,3.0,4.0,3.0,1.0,all,all,all,2026-09-24 05:00:00,https://www.vlr.gg/753455/team-liquid-vs-paper-rex-valorant-champions-2026-opening-c,Valorant Champions 2026
PRX,invy,Sova,1.04,0.82,1.34,208.0,157.0,280.0,41.0,18.0,23.0,39.0,24.0,15.0,26.0,14.0,12.0,2.0,-6.0,8.0,0.72,0.66,0.8,137.0,106.0,180.0,0.3,0.33,0.28,7.0,2.0,5.0,1.0,1.0,0.0,6.0,1.0,5.0,all,all,all,2026-09-24 05:00:00,https://www.vlr.gg/753455/team-liquid-vs-paper-rex-valorant-champions-2026-opening-c,Valorant Champions 2026
PRX,f0rsakeN,Omen,0.9,0.92,0.86,183.0,207.0,150.0,40.0,25.0,15.0,44.0,26.0,18.0,17.0,11.0,6.0,-4.0,-1.0,-3.0,0.75,0.71,0.8,128.0,136.0,117.0,0.3,0.37,0.21,6.0,4.0,2.0,5.0,4.0,1.0,1.0,0.0,1.0,all,all,all,2026-09-24 05:00:00,https://www.vlr.gg/753455/team-liquid-vs-paper-rex-valorant-champions-2026-opening-c,Valorant Champions 2026
PRX,Jinggg,Sage,0.83,0.73,0.97,190.0,163.0,229.0,38.0,17.0,21.0,47.0,27.0,20.0,19.0,10.0,9.0,-9.0,-10.0,1.0,0.73,0.71,0.76,124.0,112.0,141.0,0.21,0.13,0.33,8.0,3.0,5.0,5.0,4.0,1.0,3.0,-1.0,4.0,all,all,all,2026-09-24 05:00:00,https://www.vlr.gg/753455/team-liquid-vs-paper-rex-valorant-champions-2026-opening-c,Valorant Champions 2026
TL,kamo,Raze,1.53,2.13,1.14,315.0,420.0,246.0,22.0,12.0,10.0,13.0,4.0,9.0,4.0,1.0,3.0,9.0,8.0,1.0,0.75,0.88,0.67,206.0,278.0,157.0,0.22,0.25,0.18,3.0,1.0,2.0,3.0,1.0,2.0,0.0,0.0,0.0,Haven,283185,39:10,2026-09-24 05:00:00,https://www.vlr.gg/753455/team-liquid-vs-paper-rex-valorant-champions-2026-opening-c,Valorant Champions 2026
TL,Kicks,Harbor,1.2,1.16,1.22,164.0,186.0,150.0,12.0,5.0,7.0,11.0,5.0,6.0,9.0,6.0,3.0,1.0,0.0,1.0,0.85,1.0,0.75,121.0,118.0,124.0,0.29,0.16,0.39,2.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,Haven,283185,39:10,2026-09-24 05:00:00,https://www.vlr.gg/753455/team-liquid-vs-paper-rex-valorant-champions-2026-opening-c,Valorant Champions 2026
