player,team,2K,3K,4K,5K,1v1,1v2,1v3,1v4,1v5,ECON,PL,DE,map,date,source_url,event
nAts,TL,2,0,0,0,0,1,0,0,0,44,0,1,Lotus,2026-09-24 05:00:00,https://www.vlr.gg/753455/team-liquid-vs-paper-rex-valorant-champions-2026-opening-c,Valorant Champions 2026
trexx,TL,3,0,0,0,0,0,0,0,0,42,2,0,Lotus,2026-09-24 05:00:00,https://www.vlr.gg/753455/team-liquid-vs-paper-rex-valorant-champions-2026-opening-c,Valorant Champions 2026
Kicks,TL,0,1,0,0,1,0,0,0,0,27,3,1,Lotus,2026-09-24 05:00:00,https://www.vlr.gg/753455/team-liquid-vs-paper-rex-valorant-champions-2026-opening-c,Valorant Champions 2026
kamo,TL,1,2,0,0,0,0,0,0,0,48,0,1,Lotus,2026-09-24 05:00:00,https://www.vlr.gg/753455/team-liquid-vs-paper-rex-valorant-champions-2026-opening-c,Valorant Champions 2026
GSR,TL,5,1,1,0,0,0,0,0,0,67,2,2,Lotus,2026-09-24 05:00:00,https://www.vlr.gg/753455/team-liquid-vs-paper-rex-valorant-champions-2026-opening-c,Valorant Champions 2026
Jinggg,PRX,1,1,0,0,0,0,0,0,0,31,1,0,Lotus,2026-09-24 05:00:00,https://www.vlr.gg/753455/team-liquid-vs-paper-rex-valorant-champions-2026-opening-c,Valorant Champions 2026
invy,PRX,5,1,0,0,0,0,0,0,0,61,5,1,Lotus,2026-09-24 05:00:00,https://www.vlr.gg/753455/team-liquid-vs-paper-rex-valorant-champions-2026-opening-c,Valorant Champions 2026
f0rsakeN,PRX,2,0,0,0,1,0,0,0,0,50,0,1,Lotus,2026-09-24 05:00:00,https://www.vlr.gg/753455/team-liquid-vs-paper-rex-valorant-champions-2026-opening-c,Valorant Champions 2026
d4v41,PRX,3,2,0,1,0,0,0,0,0,76,1,1,Lotus,2026-09-24 05:00:00,https://www.vlr.gg/753455/team-liquid-vs-paper-rex-valorant-champions-2026-opening-c,Valorant Champions 2026
something,PRX,6,1,0,0,1,0,0,0,0,60,1,1,Lotus,2026-09-24 05:00:00,https://www.vlr.gg/753455/team-liquid-vs-paper-rex-valorant-champions-2026-opening-c,Valorant Champions 2026
SiuFatBB,TYL,5,0,0,0,0,1,0,0,0,39,6,0,all,2026-09-24 08:25:00,https://www.vlr.gg/753454/tyloo-vs-g2-esports-valorant-champions-2026-opening-c,Valorant Champions 2026
splash,TYL,5,1,0,0,0,0,0,0,0,42,1,0,all,2026-09-24 08:25:00,https://www.vlr.gg/753454/tyloo-vs-g2-esports-valorant-champions-2026-opening-c,Valorant Champions 2026
Scales,TYL,0,2,1,0,0,0,0,0,0,59,3,0,all,2026-09-24 08:25:00,https://www.vlr.gg/753454/tyloo-vs-g2-esports-valorant-champions-2026-opening-c,Valorant Champions 2026
slowly,TYL,3,1,0,0,0,0,0,0,0,57,1,1,all,2026-09-24 08:25:00,https://www.vlr.gg/753454/tyloo-vs-g2-esports-valorant-champions-2026-opening-c,Valorant Champions 2026
Erv,TYL,3,0,0,0,0,0,0,0,0,37,2,0,all,2026-09-24 08:25:00,https://www.vlr.gg/753454/tyloo-vs-g2-esports-valorant-champions-2026-opening-c,Valorant Champions 2026
BABYBAY,G2,3,3,0,0,1,1,0,0,0,56,0,1,all,2026-09-24 08:25:00,https://www.vlr.gg/753454/tyloo-vs-g2-esports-valorant-champions-2026-opening-c,Valorant Champions 2026
valyn,G2,6,2,0,0,0,1,0,0,0,64,1,1,all,2026-09-24 08:25:00,https://www.vlr.gg/753454/tyloo-vs-g2-esports-valorant-champions-2026-opening-c,Valorant Champions 2026
jawgemo,G2,2,2,1,0,1,0,0,0,0,66,2,1,all,2026-09-24 08:25:00,https://www.vlr.gg/753454/tyloo-vs-g2-esports-valorant-champions-2026-opening-c,Valorant Champions 2026
leaf,G2,3,2,0,0,0,0,0,0,0,51,0,0,all,2026-09-24 08:25:00,https://www.vlr.gg/753454/tyloo-vs-g2-esports-valorant-champions-2026-opening-c,Valorant Champions 2026
trent,G2,4,3,1,0,1,0,1,0,0,80,7,2,all,2026-09-24 08:25:00,https://www.vlr.gg/753454/tyloo-vs-g2-esports-valorant-champions-2026-opening-c,Valorant Champions 2026
SiuFatBB,TYL,5,0,0,0,0,1,0,0,0,45,4,0,Lotus,2026-09-24 08:25:00,https://www.vlr.gg/753454/tyloo-vs-g2-esports-valorant-champions-2026-opening-c,Valorant Champions 2026
splash,TYL,2,1,0,0,0,0,0,0,0,40,1,0,Lotus,2026-09-24 08:25:00,https://www.vlr.gg/753454/tyloo-vs-g2-esports-valorant-champions-2026-opening-c,Valorant Champions 2026
Scales,TYL,0,1,0,0,0,0,0,0,0,54,0,0,Lotus,2026-09-24 08:25:00,https://www.vlr.gg/753454/tyloo-vs-g2-esports-valorant-champions-2026-opening-c,Valorant Champions 2026
slowly,TYL,2,0,0,0,0,0,0,0,0,56,1,0,Lotus,2026-09-24 08:25:00,https://www.vlr.gg/753454/tyloo-vs-g2-esports-valorant-champions-2026-opening-c,Valorant Champions 2026
Erv,TYL,1,0,0,0,0,0,0,0,0,46,0,0,Lotus,2026-09-24 08:25:00,https://www.vlr.gg/753454/tyloo-vs-g2-esports-valorant-champions-2026-opening-c,Valorant Champions 2026
BABYBAY,G2,2,3,0,0,0,1,0,0,0,60,0,0,Lotus,2026-09-24 08:25:00,https://www.vlr.gg/753454/tyloo-vs-g2-esports-valorant-champions-2026-opening-c,Valorant Champions 2026
valyn,G2,2,2,0,0,0,1,0,0,0,60,1,0,Lotus,2026-09-24 08:25:00,https://www.vlr.gg/753454/tyloo-vs-g2-esports-valorant-champions-2026-opening-c,Valorant Champions 2026
jawgemo,G2,1,0,0,0,0,0,0,0,0,32,2,0,Lotus,2026-09-24 08:25:00,https://www.vlr.gg/753454/tyloo-vs-g2-esports-valorant-champions-2026-opening-c,Valorant Champions 2026
leaf,G2,2,1,0,0,0,0,0,0,0,52,0,0,Lotus,2026-09-24 08:25:00,https://www.vlr.gg/753454/tyloo-vs-g2-esports-valorant-champions-2026-opening-c,Valorant Champions 2026
trent,G2,0,0,1,0,1,0,0,0,0,62,4,0,Lotus,2026-09-24 08:25:00,https://www.vlr.gg/753454/tyloo-vs-g2-esports-valorant-champions-2026-opening-c,Valorant Champions 2026
SiuFatBB,TYL,0,0,0,0,0,0,0,0,0,33,2,0,Sunset,2026-09-24 08:25:00,https://www.vlr.gg/753454/tyloo-vs-g2-esports-valorant-champions-2026-opening-c,Valorant Champions 2026
splash,TYL,3,0,0,0,0,0,0,0,0,44,0,0,Sunset,2026-09-24 08:25:00,https://www.vlr.gg/753454/tyloo-vs-g2-esports-valorant-champions-2026-opening-c,Valorant Champions 2026
Scales,TYL,0,1,1,0,0,0,0,0,0,64,3,0,Sunset,2026-09-24 08:25:00,https://www.vlr.gg/753454/tyloo-vs-g2-esports-valorant-champions-2026-opening-c,Valorant Champions 2026
slowly,TYL,1,1,0,0,0,0,0,0,0,58,0,1,Sunset,2026-09-24 08:25:00,https://www.vlr.gg/753454/tyloo-vs-g2-esports-valorant-champions-2026-opening-c,Valorant Champions 2026
Erv,TYL,2,0,0,0,0,0,0,0,0,27,2,0,Sunset,2026-09-24 08:25:00,https://www.vlr.gg/753454/tyloo-vs-g2-esports-valorant-champions-2026-opening-c,Valorant Champions 2026
BABYBAY,G2,1,0,0,0,1,0,0,0,0,51,0,1,Sunset,2026-09-24 08:25:00,https://www.vlr.gg/753454/tyloo-vs-g2-esports-valorant-champions-2026-opening-c,Valorant Champions 2026
valyn,G2,4,0,0,0,0,0,0,0,0,68,0,1,Sunset,2026-09-24 08:25:00,https://www.vlr.gg/753454/tyloo-vs-g2-esports-valorant-champions-2026-opening-c,Valorant Champions 2026
jawgemo,G2,1,2,1,0,1,0,0,0,0,100,0,1,Sunset,2026-09-24 08:25:00,https://www.vlr.gg/753454/tyloo-vs-g2-esports-valorant-champions-2026-opening-c,Valorant Champions 2026
leaf,G2,1,1,0,0,0,0,0,0,0,49,0,0,Sunset,2026-09-24 08:25:00,https://www.vlr.gg/753454/tyloo-vs-g2-esports-valorant-champions-2026-opening-c,Valorant Champions 2026
trent,G2,4,3,0,0,0,0,1,0,0,98,3,2,Sunset,2026-09-24 08:25:00,https://www.vlr.gg/753454/tyloo-vs-g2-esports-valorant-champions-2026-opening-c,Valorant Champions 2026
